gene-symbol,gene-name,genetic-category,gene-score,number-of-reports,UMLS_IDs,uniprot_id,protein_gene_name,protein_name,organism,protein_function,protein_UMLS_IDs,pathway_id,pathway_name,match_basis,matched_umls
BCL11B,BCL11 transcription factor B,"Rare Single Gene Mutation, Syndromic, Functional",3.0,11,"C1421887,C0040648",Q9C0K0,BCL11B CTIP2 RIT1,B-cell lymphoma/leukemia 11B (BCL-11B) (B-cell CLL/lymphoma 11B) (COUP-TF-interacting protein 2) (Radiation-induced tumor suppressor gene 1 protein) (hRit1),Homo sapiens (Human),"FUNCTION: Key regulator of both differentiation and survival of T-lymphocytes during thymocyte development in mammals. Essential in controlling the responsiveness of hematopoietic stem cells to chemotactic signals by modulating the expression of the receptors CCR7 and CCR9, which direct the movement of progenitor cells from the bone marrow to the thymus (PubMed:27959755). Is a regulator of IL2 promoter and enhances IL2 expression in activated CD4(+) T-lymphocytes (PubMed:16809611). Tumor-suppressor that represses transcription through direct, TFCOUP2-independent binding to a GC-rich response element (By similarity). May also function in the P53-signaling pathway (By similarity). {ECO:0000250|UniProtKB:Q99PV8, ECO:0000269|PubMed:16809611, ECO:0000269|PubMed:27959755}.",C2984595,hsa04115,p53 signaling pathway,NAME,
BCORL1,BCL6 corepressor like 1,"Rare Single Gene Mutation, Syndromic",,10,"C1538320,C1427193",Q5H9F3,BCORL1,BCL-6 corepressor-like protein 1 (BCoR-L1) (BCoR-like protein 1),Homo sapiens (Human),FUNCTION: Transcriptional corepressor. May specifically inhibit gene expression when recruited to promoter regions by sequence-specific DNA-binding proteins such as BCL6. This repression may be mediated at least in part by histone deacetylase activities which can associate with this corepressor. {ECO:0000269|PubMed:17379597}.,C1958398,,,,
BICRA,BRD4 interacting chromatin remodeling complex associated protein,"Rare Single Gene Mutation, Syndromic",2.0,5,"C1333679,C1333030",Q9NZM4,BICRA GLTSCR1,BRD4-interacting chromatin-remodeling complex-associated protein (Glioma tumor suppressor candidate region gene 1 protein),Homo sapiens (Human),"FUNCTION: Component of SWI/SNF chromatin remodeling subcomplex GBAF that carries out key enzymatic activities, changing chromatin structure by altering DNA-histone contacts within a nucleosome in an ATP-dependent manner (PubMed:29374058). May play a role in BRD4-mediated gene transcription (PubMed:21555454). {ECO:0000269|PubMed:21555454, ECO:0000269|PubMed:29374058}.",C4761353,hsa05214,Glioma,NAME,
BIRC6,Baculoviral IAP repeat containing 6,Rare Single Gene Mutation,2.0,16,"C1332417,C1332414",Q9NR09,BIRC6 KIAA1289,Dual E2 ubiquitin-conjugating enzyme/E3 ubiquitin-protein ligase BIRC6 (EC 2.3.2.24) (BIR repeat-containing ubiquitin-conjugating enzyme) (BRUCE) (Baculoviral IAP repeat-containing protein 6) (Ubiquitin-conjugating BIR domain enzyme apollon) (APOLLON),Homo sapiens (Human),"FUNCTION: Anti-apoptotic protein known as inhibitor of apoptosis (IAP) which can regulate cell death by controlling caspases and by acting as an E3 ubiquitin-protein ligase (PubMed:14765125, PubMed:15200957, PubMed:18329369). Unlike most IAPs, does not contain a RING domain and it is not a RING-type E3 ligase (PubMed:15200957, PubMed:36758104, PubMed:36758105, PubMed:36758106). Instead acts as a dual E2/E3 enzyme that combines ubiquitin conjugating (E2) and ubiquitin ligase (E3) activities in a single polypeptide (PubMed:15200957, PubMed:36758104, PubMed:36758105, PubMed:36758106). Ubiquitination is mediated by a non-canonical E1 ubiquitin activating enzyme UBA6 (PubMed:36758104, PubMed:36758105, PubMed:36758106). Ubiquitinates CASP3, CASP7 and CASP9 and inhibits their caspase activity; also ubiquitinates their procaspases but to a weaker extent (PubMed:15200957, PubMed:36758104, PubMed:36758105, PubMed:36758106). Ubiquitinates pro-apoptotic factors DIABLO/SMAC and HTRA2 (PubMed:15200957, PubMed:36758104, PubMed:36758105, PubMed:36758106). DIABLO/SMAC antagonizes the caspase inhibition activity of BIRC6 by competing for the same binding sites as the caspases (PubMed:18329369, PubMed:36758106). Ubiquitinates the autophagy protein MAP1LC3B; this activity is also inhibited by DIABLO/SMAC (PubMed:36758105). Important regulator for the final stages of cytokinesis (PubMed:18329369). Crucial for normal vesicle targeting to the site of abscission, but also for the integrity of the midbody and the midbody ring, and its striking ubiquitin modification (PubMed:18329369). {ECO:0000269|PubMed:14765125, ECO:0000269|PubMed:15200957, ECO:0000269|PubMed:18329369, ECO:0000269|PubMed:36758104, ECO:0000269|PubMed:36758105, ECO:0000269|PubMed:36758106}.",,hsa04140,Autophagy,NAME,
BIRC6,Baculoviral IAP repeat containing 6,Rare Single Gene Mutation,2.0,16,"C1332417,C1332414",Q9NR09,BIRC6 KIAA1289,Dual E2 ubiquitin-conjugating enzyme/E3 ubiquitin-protein ligase BIRC6 (EC 2.3.2.24) (BIR repeat-containing ubiquitin-conjugating enzyme) (BRUCE) (Baculoviral IAP repeat-containing protein 6) (Ubiquitin-conjugating BIR domain enzyme apollon) (APOLLON),Homo sapiens (Human),"FUNCTION: Anti-apoptotic protein known as inhibitor of apoptosis (IAP) which can regulate cell death by controlling caspases and by acting as an E3 ubiquitin-protein ligase (PubMed:14765125, PubMed:15200957, PubMed:18329369). Unlike most IAPs, does not contain a RING domain and it is not a RING-type E3 ligase (PubMed:15200957, PubMed:36758104, PubMed:36758105, PubMed:36758106). Instead acts as a dual E2/E3 enzyme that combines ubiquitin conjugating (E2) and ubiquitin ligase (E3) activities in a single polypeptide (PubMed:15200957, PubMed:36758104, PubMed:36758105, PubMed:36758106). Ubiquitination is mediated by a non-canonical E1 ubiquitin activating enzyme UBA6 (PubMed:36758104, PubMed:36758105, PubMed:36758106). Ubiquitinates CASP3, CASP7 and CASP9 and inhibits their caspase activity; also ubiquitinates their procaspases but to a weaker extent (PubMed:15200957, PubMed:36758104, PubMed:36758105, PubMed:36758106). Ubiquitinates pro-apoptotic factors DIABLO/SMAC and HTRA2 (PubMed:15200957, PubMed:36758104, PubMed:36758105, PubMed:36758106). DIABLO/SMAC antagonizes the caspase inhibition activity of BIRC6 by competing for the same binding sites as the caspases (PubMed:18329369, PubMed:36758106). Ubiquitinates the autophagy protein MAP1LC3B; this activity is also inhibited by DIABLO/SMAC (PubMed:36758105). Important regulator for the final stages of cytokinesis (PubMed:18329369). Crucial for normal vesicle targeting to the site of abscission, but also for the integrity of the midbody and the midbody ring, and its striking ubiquitin modification (PubMed:18329369). {ECO:0000269|PubMed:14765125, ECO:0000269|PubMed:15200957, ECO:0000269|PubMed:18329369, ECO:0000269|PubMed:36758104, ECO:0000269|PubMed:36758105, ECO:0000269|PubMed:36758106}.",,hsa04136,Autophagy,NAME,
BIRC6,Baculoviral IAP repeat containing 6,Rare Single Gene Mutation,2.0,16,"C1332417,C1332414",Q9NR09,BIRC6 KIAA1289,Dual E2 ubiquitin-conjugating enzyme/E3 ubiquitin-protein ligase BIRC6 (EC 2.3.2.24) (BIR repeat-containing ubiquitin-conjugating enzyme) (BRUCE) (Baculoviral IAP repeat-containing protein 6) (Ubiquitin-conjugating BIR domain enzyme apollon) (APOLLON),Homo sapiens (Human),"FUNCTION: Anti-apoptotic protein known as inhibitor of apoptosis (IAP) which can regulate cell death by controlling caspases and by acting as an E3 ubiquitin-protein ligase (PubMed:14765125, PubMed:15200957, PubMed:18329369). Unlike most IAPs, does not contain a RING domain and it is not a RING-type E3 ligase (PubMed:15200957, PubMed:36758104, PubMed:36758105, PubMed:36758106). Instead acts as a dual E2/E3 enzyme that combines ubiquitin conjugating (E2) and ubiquitin ligase (E3) activities in a single polypeptide (PubMed:15200957, PubMed:36758104, PubMed:36758105, PubMed:36758106). Ubiquitination is mediated by a non-canonical E1 ubiquitin activating enzyme UBA6 (PubMed:36758104, PubMed:36758105, PubMed:36758106). Ubiquitinates CASP3, CASP7 and CASP9 and inhibits their caspase activity; also ubiquitinates their procaspases but to a weaker extent (PubMed:15200957, PubMed:36758104, PubMed:36758105, PubMed:36758106). Ubiquitinates pro-apoptotic factors DIABLO/SMAC and HTRA2 (PubMed:15200957, PubMed:36758104, PubMed:36758105, PubMed:36758106). DIABLO/SMAC antagonizes the caspase inhibition activity of BIRC6 by competing for the same binding sites as the caspases (PubMed:18329369, PubMed:36758106). Ubiquitinates the autophagy protein MAP1LC3B; this activity is also inhibited by DIABLO/SMAC (PubMed:36758105). Important regulator for the final stages of cytokinesis (PubMed:18329369). Crucial for normal vesicle targeting to the site of abscission, but also for the integrity of the midbody and the midbody ring, and its striking ubiquitin modification (PubMed:18329369). {ECO:0000269|PubMed:14765125, ECO:0000269|PubMed:15200957, ECO:0000269|PubMed:18329369, ECO:0000269|PubMed:36758104, ECO:0000269|PubMed:36758105, ECO:0000269|PubMed:36758106}.",,hsa04210,Apoptosis,NAME,
BIRC6,Baculoviral IAP repeat containing 6,Rare Single Gene Mutation,2.0,16,"C1332417,C1332414",Q9NR09,BIRC6 KIAA1289,Dual E2 ubiquitin-conjugating enzyme/E3 ubiquitin-protein ligase BIRC6 (EC 2.3.2.24) (BIR repeat-containing ubiquitin-conjugating enzyme) (BRUCE) (Baculoviral IAP repeat-containing protein 6) (Ubiquitin-conjugating BIR domain enzyme apollon) (APOLLON),Homo sapiens (Human),"FUNCTION: Anti-apoptotic protein known as inhibitor of apoptosis (IAP) which can regulate cell death by controlling caspases and by acting as an E3 ubiquitin-protein ligase (PubMed:14765125, PubMed:15200957, PubMed:18329369). Unlike most IAPs, does not contain a RING domain and it is not a RING-type E3 ligase (PubMed:15200957, PubMed:36758104, PubMed:36758105, PubMed:36758106). Instead acts as a dual E2/E3 enzyme that combines ubiquitin conjugating (E2) and ubiquitin ligase (E3) activities in a single polypeptide (PubMed:15200957, PubMed:36758104, PubMed:36758105, PubMed:36758106). Ubiquitination is mediated by a non-canonical E1 ubiquitin activating enzyme UBA6 (PubMed:36758104, PubMed:36758105, PubMed:36758106). Ubiquitinates CASP3, CASP7 and CASP9 and inhibits their caspase activity; also ubiquitinates their procaspases but to a weaker extent (PubMed:15200957, PubMed:36758104, PubMed:36758105, PubMed:36758106). Ubiquitinates pro-apoptotic factors DIABLO/SMAC and HTRA2 (PubMed:15200957, PubMed:36758104, PubMed:36758105, PubMed:36758106). DIABLO/SMAC antagonizes the caspase inhibition activity of BIRC6 by competing for the same binding sites as the caspases (PubMed:18329369, PubMed:36758106). Ubiquitinates the autophagy protein MAP1LC3B; this activity is also inhibited by DIABLO/SMAC (PubMed:36758105). Important regulator for the final stages of cytokinesis (PubMed:18329369). Crucial for normal vesicle targeting to the site of abscission, but also for the integrity of the midbody and the midbody ring, and its striking ubiquitin modification (PubMed:18329369). {ECO:0000269|PubMed:14765125, ECO:0000269|PubMed:15200957, ECO:0000269|PubMed:18329369, ECO:0000269|PubMed:36758104, ECO:0000269|PubMed:36758105, ECO:0000269|PubMed:36758106}.",,hsa04215,Apoptosis,NAME,
BRAF,v-raf murine sarcoma viral oncogene homolog B,"Rare Single Gene Mutation, Syndromic",1.0,23,"C0812241,C3812738",P15056,BRAF BRAF1 RAFB1,Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1),Homo sapiens (Human),"FUNCTION: Protein kinase involved in the transduction of mitogenic signals from the cell membrane to the nucleus (Probable). Phosphorylates MAP2K1, and thereby activates the MAP kinase signal transduction pathway (PubMed:21441910, PubMed:29433126). Phosphorylates PFKFB2 (PubMed:36402789). May play a role in the postsynaptic responses of hippocampal neurons (PubMed:1508179). {ECO:0000269|PubMed:1508179, ECO:0000269|PubMed:21441910, ECO:0000269|PubMed:29433126, ECO:0000269|PubMed:36402789, ECO:0000305}.",C4263284,,,,
BRCA2,"breast cancer 2, early onset",Rare Single Gene Mutation,2.0,10,"C0598034,C0598034",P51587,BRCA2 FACD FANCD1,Breast cancer type 2 susceptibility protein (Fanconi anemia group D1 protein),Homo sapiens (Human),"FUNCTION: Involved in double-strand break repair and/or homologous recombination. Binds RAD51 and potentiates recombinational DNA repair by promoting assembly of RAD51 onto single-stranded DNA (ssDNA). Acts by targeting RAD51 to ssDNA over double-stranded DNA, enabling RAD51 to displace replication protein-A (RPA) from ssDNA and stabilizing RAD51-ssDNA filaments by blocking ATP hydrolysis. Part of a PALB2-scaffolded HR complex containing RAD51C and which is thought to play a role in DNA repair by HR. May participate in S phase checkpoint activation. Binds selectively to ssDNA, and to ssDNA in tailed duplexes and replication fork structures. May play a role in the extension step after strand invasion at replication-dependent DNA double-strand breaks; together with PALB2 is involved in both POLH localization at collapsed replication forks and DNA polymerization activity. In concert with NPM1, regulates centrosome duplication. Interacts with the TREX-2 complex (transcription and export complex 2) subunits PCID2 and SEM1, and is required to prevent R-loop-associated DNA damage and thus transcription-associated genomic instability. Silencing of BRCA2 promotes R-loop accumulation at actively transcribed genes in replicating and non-replicating cells, suggesting that BRCA2 mediates the control of R-loop associated genomic instability, independently of its known role in homologous recombination (PubMed:24896180). {ECO:0000269|PubMed:15115758, ECO:0000269|PubMed:15199141, ECO:0000269|PubMed:15671039, ECO:0000269|PubMed:18317453, ECO:0000269|PubMed:20729832, ECO:0000269|PubMed:20729858, ECO:0000269|PubMed:20729859, ECO:0000269|PubMed:21084279, ECO:0000269|PubMed:21719596, ECO:0000269|PubMed:24485656, ECO:0000269|PubMed:24896180}.",C0598034,hsa03440,Homologous recombination,NAME,
BRCA2,"breast cancer 2, early onset",Rare Single Gene Mutation,2.0,10,"C0598034,C0598034",P51587,BRCA2 FACD FANCD1,Breast cancer type 2 susceptibility protein (Fanconi anemia group D1 protein),Homo sapiens (Human),"FUNCTION: Involved in double-strand break repair and/or homologous recombination. Binds RAD51 and potentiates recombinational DNA repair by promoting assembly of RAD51 onto single-stranded DNA (ssDNA). Acts by targeting RAD51 to ssDNA over double-stranded DNA, enabling RAD51 to displace replication protein-A (RPA) from ssDNA and stabilizing RAD51-ssDNA filaments by blocking ATP hydrolysis. Part of a PALB2-scaffolded HR complex containing RAD51C and which is thought to play a role in DNA repair by HR. May participate in S phase checkpoint activation. Binds selectively to ssDNA, and to ssDNA in tailed duplexes and replication fork structures. May play a role in the extension step after strand invasion at replication-dependent DNA double-strand breaks; together with PALB2 is involved in both POLH localization at collapsed replication forks and DNA polymerization activity. In concert with NPM1, regulates centrosome duplication. Interacts with the TREX-2 complex (transcription and export complex 2) subunits PCID2 and SEM1, and is required to prevent R-loop-associated DNA damage and thus transcription-associated genomic instability. Silencing of BRCA2 promotes R-loop accumulation at actively transcribed genes in replicating and non-replicating cells, suggesting that BRCA2 mediates the control of R-loop associated genomic instability, independently of its known role in homologous recombination (PubMed:24896180). {ECO:0000269|PubMed:15115758, ECO:0000269|PubMed:15199141, ECO:0000269|PubMed:15671039, ECO:0000269|PubMed:18317453, ECO:0000269|PubMed:20729832, ECO:0000269|PubMed:20729858, ECO:0000269|PubMed:20729859, ECO:0000269|PubMed:21084279, ECO:0000269|PubMed:21719596, ECO:0000269|PubMed:24485656, ECO:0000269|PubMed:24896180}.",C0598034,hsa05224,Breast cancer,NAME,
BRD4,bromodomain containing 4,"Rare Single Gene Mutation, Syndromic, Functional",2.0,13,"C1422073,C1511331",O60885,BRD4 HUNK1,Bromodomain-containing protein 4 (Protein HUNK1),Homo sapiens (Human),"FUNCTION: Chromatin reader protein that recognizes and binds acetylated histones and plays a key role in transmission of epigenetic memory across cell divisions and transcription regulation (PubMed:20871596, PubMed:23086925, PubMed:23317504, PubMed:29176719, PubMed:29379197). Remains associated with acetylated chromatin throughout the entire cell cycle and provides epigenetic memory for postmitotic G1 gene transcription by preserving acetylated chromatin status and maintaining high-order chromatin structure (PubMed:22334664, PubMed:23317504, PubMed:23589332). During interphase, plays a key role in regulating the transcription of signal-inducible genes by associating with the P-TEFb complex and recruiting it to promoters (PubMed:16109376, PubMed:16109377, PubMed:19596240, PubMed:23589332, PubMed:24360279). Also recruits P-TEFb complex to distal enhancers, so called anti-pause enhancers in collaboration with JMJD6 (PubMed:16109376, PubMed:16109377, PubMed:19596240, PubMed:23589332, PubMed:24360279). BRD4 and JMJD6 are required to form the transcriptionally active P-TEFb complex by displacing negative regulators such as HEXIM1 and 7SKsnRNA complex from P-TEFb, thereby transforming it into an active form that can then phosphorylate the C-terminal domain (CTD) of RNA polymerase II (PubMed:16109376, PubMed:16109377, PubMed:19596240, PubMed:23589332, PubMed:24360279). Regulates differentiation of naive CD4(+) T-cells into T-helper Th17 by promoting recruitment of P-TEFb to promoters (By similarity). Promotes phosphorylation of 'Ser-2' of the C-terminal domain (CTD) of RNA polymerase II (PubMed:23086925). According to a report, directly acts as an atypical protein kinase and mediates phosphorylation of 'Ser-2' of the C-terminal domain (CTD) of RNA polymerase II; these data however need additional evidences in vivo (PubMed:22509028). In addition to acetylated histones, also recognizes and binds acetylated RELA, leading to further recruitment of the P-TEFb complex and subsequent activation of NF-kappa-B (PubMed:19103749). Also acts as a regulator of p53/TP53-mediated transcription: following phosphorylation by CK2, recruited to p53/TP53 specific target promoters (PubMed:23317504). {ECO:0000250|UniProtKB:Q9ESU6, ECO:0000269|PubMed:16109376, ECO:0000269|PubMed:16109377, ECO:0000269|PubMed:19103749, ECO:0000269|PubMed:19596240, ECO:0000269|PubMed:22334664, ECO:0000269|PubMed:22509028, ECO:0000269|PubMed:23086925, ECO:0000269|PubMed:23317504, ECO:0000269|PubMed:23589332, ECO:0000269|PubMed:24360279, ECO:0000269|PubMed:29176719}.; FUNCTION: [Isoform B]: Acts as a chromatin insulator in the DNA damage response pathway. Inhibits DNA damage response signaling by recruiting the condensin-2 complex to acetylated histones, leading to chromatin structure remodeling, insulating the region from DNA damage response by limiting spreading of histone H2AX/H2A.x phosphorylation. {ECO:0000269|PubMed:23728299}.",C1422073,hsa03020,RNA polymerase,NAME,
BRD4,bromodomain containing 4,"Rare Single Gene Mutation, Syndromic, Functional",2.0,13,"C1422073,C1511331",O60885,BRD4 HUNK1,Bromodomain-containing protein 4 (Protein HUNK1),Homo sapiens (Human),"FUNCTION: Chromatin reader protein that recognizes and binds acetylated histones and plays a key role in transmission of epigenetic memory across cell divisions and transcription regulation (PubMed:20871596, PubMed:23086925, PubMed:23317504, PubMed:29176719, PubMed:29379197). Remains associated with acetylated chromatin throughout the entire cell cycle and provides epigenetic memory for postmitotic G1 gene transcription by preserving acetylated chromatin status and maintaining high-order chromatin structure (PubMed:22334664, PubMed:23317504, PubMed:23589332). During interphase, plays a key role in regulating the transcription of signal-inducible genes by associating with the P-TEFb complex and recruiting it to promoters (PubMed:16109376, PubMed:16109377, PubMed:19596240, PubMed:23589332, PubMed:24360279). Also recruits P-TEFb complex to distal enhancers, so called anti-pause enhancers in collaboration with JMJD6 (PubMed:16109376, PubMed:16109377, PubMed:19596240, PubMed:23589332, PubMed:24360279). BRD4 and JMJD6 are required to form the transcriptionally active P-TEFb complex by displacing negative regulators such as HEXIM1 and 7SKsnRNA complex from P-TEFb, thereby transforming it into an active form that can then phosphorylate the C-terminal domain (CTD) of RNA polymerase II (PubMed:16109376, PubMed:16109377, PubMed:19596240, PubMed:23589332, PubMed:24360279). Regulates differentiation of naive CD4(+) T-cells into T-helper Th17 by promoting recruitment of P-TEFb to promoters (By similarity). Promotes phosphorylation of 'Ser-2' of the C-terminal domain (CTD) of RNA polymerase II (PubMed:23086925). According to a report, directly acts as an atypical protein kinase and mediates phosphorylation of 'Ser-2' of the C-terminal domain (CTD) of RNA polymerase II; these data however need additional evidences in vivo (PubMed:22509028). In addition to acetylated histones, also recognizes and binds acetylated RELA, leading to further recruitment of the P-TEFb complex and subsequent activation of NF-kappa-B (PubMed:19103749). Also acts as a regulator of p53/TP53-mediated transcription: following phosphorylation by CK2, recruited to p53/TP53 specific target promoters (PubMed:23317504). {ECO:0000250|UniProtKB:Q9ESU6, ECO:0000269|PubMed:16109376, ECO:0000269|PubMed:16109377, ECO:0000269|PubMed:19103749, ECO:0000269|PubMed:19596240, ECO:0000269|PubMed:22334664, ECO:0000269|PubMed:22509028, ECO:0000269|PubMed:23086925, ECO:0000269|PubMed:23317504, ECO:0000269|PubMed:23589332, ECO:0000269|PubMed:24360279, ECO:0000269|PubMed:29176719}.; FUNCTION: [Isoform B]: Acts as a chromatin insulator in the DNA damage response pathway. Inhibits DNA damage response signaling by recruiting the condensin-2 complex to acetylated histones, leading to chromatin structure remodeling, insulating the region from DNA damage response by limiting spreading of histone H2AX/H2A.x phosphorylation. {ECO:0000269|PubMed:23728299}.",C1422073,hsa04110,Cell cycle,NAME,
BRINP3,BMP/retinoic acid inducible neural specific 3,"Rare Single Gene Mutation, Genetic Association, Functional",3.0,4,"C1539388,C0205263",Q76B58,BRINP3 DBCCR1L DBCCR1L1 FAM5C,BMP/retinoic acid-inducible neural-specific protein 3 (DBCCR1-like protein 1),Homo sapiens (Human),"FUNCTION: Inhibits neuronal cell proliferation by negative regulation of the cell cycle transition. Promotes pituitary gonadotrope cell proliferation, migration and invasion, when overexpressed. May play a role in cell pituitary tumor development. {ECO:0000269|PubMed:17138656}.",C2353785,hsa04110,Cell cycle,NAME,
BRSK2,BR serine/threonine kinase 2,"Rare Single Gene Mutation, Syndromic, Functional",1.0,16,"C1538964,C1420472",Q8IWQ3,BRSK2 C11orf7 PEN11B SADA STK29 HUSSY-12,Serine/threonine-protein kinase BRSK2 (EC 2.7.11.1) (Brain-selective kinase 2) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 2) (BR serine/threonine-protein kinase 2) (Serine/threonine-protein kinase 29) (Serine/threonine-protein kinase SAD-A),Homo sapiens (Human),"FUNCTION: Serine/threonine-protein kinase that plays a key role in polarization of neurons and axonogenesis, cell cycle progress and insulin secretion. Phosphorylates CDK16, CDC25C, MAPT/TAU, PAK1 and WEE1. Following phosphorylation and activation by STK11/LKB1, acts as a key regulator of polarization of cortical neurons, probably by mediating phosphorylation of microtubule-associated proteins such as MAPT/TAU at 'Thr-529' and 'Ser-579'. Also regulates neuron polarization by mediating phosphorylation of WEE1 at 'Ser-642' in postmitotic neurons, leading to down-regulate WEE1 activity in polarized neurons. Plays a role in the regulation of the mitotic cell cycle progress and the onset of mitosis. Plays a role in the regulation of insulin secretion in response to elevated glucose levels, probably via phosphorylation of CDK16 and PAK1. While BRSK2 phosphorylated at Thr-174 can inhibit insulin secretion (PubMed:22798068), BRSK2 phosphorylated at Thr-260 can promote insulin secretion (PubMed:22669945). Regulates reorganization of the actin cytoskeleton. May play a role in the apoptotic response triggered by endoplasmic reticulum (ER) stress. {ECO:0000269|PubMed:14976552, ECO:0000269|PubMed:20026642, ECO:0000269|PubMed:21985311, ECO:0000269|PubMed:22669945, ECO:0000269|PubMed:22798068, ECO:0000269|PubMed:23029325}.",,hsa04110,Cell cycle,NAME,
BRSK2,BR serine/threonine kinase 2,"Rare Single Gene Mutation, Syndromic, Functional",1.0,16,"C1538964,C1420472",Q8IWQ3,BRSK2 C11orf7 PEN11B SADA STK29 HUSSY-12,Serine/threonine-protein kinase BRSK2 (EC 2.7.11.1) (Brain-selective kinase 2) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 2) (BR serine/threonine-protein kinase 2) (Serine/threonine-protein kinase 29) (Serine/threonine-protein kinase SAD-A),Homo sapiens (Human),"FUNCTION: Serine/threonine-protein kinase that plays a key role in polarization of neurons and axonogenesis, cell cycle progress and insulin secretion. Phosphorylates CDK16, CDC25C, MAPT/TAU, PAK1 and WEE1. Following phosphorylation and activation by STK11/LKB1, acts as a key regulator of polarization of cortical neurons, probably by mediating phosphorylation of microtubule-associated proteins such as MAPT/TAU at 'Thr-529' and 'Ser-579'. Also regulates neuron polarization by mediating phosphorylation of WEE1 at 'Ser-642' in postmitotic neurons, leading to down-regulate WEE1 activity in polarized neurons. Plays a role in the regulation of the mitotic cell cycle progress and the onset of mitosis. Plays a role in the regulation of insulin secretion in response to elevated glucose levels, probably via phosphorylation of CDK16 and PAK1. While BRSK2 phosphorylated at Thr-174 can inhibit insulin secretion (PubMed:22798068), BRSK2 phosphorylated at Thr-260 can promote insulin secretion (PubMed:22669945). Regulates reorganization of the actin cytoskeleton. May play a role in the apoptotic response triggered by endoplasmic reticulum (ER) stress. {ECO:0000269|PubMed:14976552, ECO:0000269|PubMed:20026642, ECO:0000269|PubMed:21985311, ECO:0000269|PubMed:22669945, ECO:0000269|PubMed:22798068, ECO:0000269|PubMed:23029325}.",,hsa04911,Insulin secretion,NAME,
BRWD3,bromodomain and WD repeat domain containing 3,"Rare Single Gene Mutation, Syndromic",,10,"C1538965,C1511331",Q6RI45,BRWD3,Bromodomain and WD repeat-containing protein 3,Homo sapiens (Human),FUNCTION: Plays a role in the regulation of cell morphology and cytoskeletal organization. Required in the control of cell shape. {ECO:0000269|PubMed:21834987}.,C1538965,,,,
BSN,bassoon presynaptic cytomatrix protein,"Rare Single Gene Mutation, Genetic Association, Functional",3.0,12,"C1412829,C1452990",Q9Y6V0,PCLO ACZ KIAA0559,Protein piccolo (Aczonin),Homo sapiens (Human),"FUNCTION: Scaffold protein of the presynaptic cytomatrix at the active zone (CAZ) which is the place in the synapse where neurotransmitter is released (By similarity). After synthesis, participates in the formation of Golgi-derived membranous organelles termed Piccolo-Bassoon transport vesicles (PTVs) that are transported along axons to sites of nascent synaptic contacts (By similarity). At the presynaptic active zone, regulates the spatial organization of synaptic vesicle cluster, the protein complexes that execute membrane fusion and compensatory endocytosis (By similarity). Organizes as well the readily releasable pool of synaptic vesicles and safeguards a fraction of them to be not immediately available for action potential-induced release (By similarity). Also functions in processes other than assembly such as the regulation of specific presynaptic protein ubiquitination by interacting with SIAH1 or the regulation of presynaptic autophagy (By similarity). Also mediates synapse to nucleus communication leading to reconfiguration of gene expression by associating with the transcriptional corepressor CTBP1 and by subsequently reducing the size of its pool available for nuclear import (By similarity). {ECO:0000250|UniProtKB:Q9JKS6}.",C1452990,hsa04144,Endocytosis,NAME,
BSN,bassoon presynaptic cytomatrix protein,"Rare Single Gene Mutation, Genetic Association, Functional",3.0,12,"C1412829,C1452990",Q9Y6V0,PCLO ACZ KIAA0559,Protein piccolo (Aczonin),Homo sapiens (Human),"FUNCTION: Scaffold protein of the presynaptic cytomatrix at the active zone (CAZ) which is the place in the synapse where neurotransmitter is released (By similarity). After synthesis, participates in the formation of Golgi-derived membranous organelles termed Piccolo-Bassoon transport vesicles (PTVs) that are transported along axons to sites of nascent synaptic contacts (By similarity). At the presynaptic active zone, regulates the spatial organization of synaptic vesicle cluster, the protein complexes that execute membrane fusion and compensatory endocytosis (By similarity). Organizes as well the readily releasable pool of synaptic vesicles and safeguards a fraction of them to be not immediately available for action potential-induced release (By similarity). Also functions in processes other than assembly such as the regulation of specific presynaptic protein ubiquitination by interacting with SIAH1 or the regulation of presynaptic autophagy (By similarity). Also mediates synapse to nucleus communication leading to reconfiguration of gene expression by associating with the transcriptional corepressor CTBP1 and by subsequently reducing the size of its pool available for nuclear import (By similarity). {ECO:0000250|UniProtKB:Q9JKS6}.",C1452990,hsa04140,Autophagy,NAME,
